Row Labels;Sum of daily unique entries
13 September 2017;44
14;0
15;1
16;7
17;20
18;21
19;9
20;5
14 September 2017;146
6;1
7;12
8;19
9;8
11;6
12;15
13;23
14;15
15;12
16;17
17;25
18;32
19;11
20;2
23;0
15 September 2017;114
7;8
8;10
9;7
10;11
11;7
12;19
13;7
14;10
15;11
16;18
17;19
18;22
19;9
20;2
23;0
16 September 2017;26
7;0
8;3
9;3
10;2
11;4
12;4
13;4
14;9
15;6
16;2
17 September 2017;33
8;2
9;4
10;5
11;2
12;5
13;6
14;12
15;7
16;3
17;1
18 September 2017;171
2;0
6;2
7;13
8;7
9;9
10;16
11;15
12;14
13;23
14;17
15;33
16;21
17;28
18;24
19;12
20;2
22;0
19 September 2017;227
1;0
6;1
7;16
8;29
9;14
10;15
11;11
12;31
13;28
14;23
15;27
16;36
17;35
18;38
19;14
20;4
20 September 2017;244
6;3
7;21
8;15
9;13
10;22
11;15
12;32
13;19
14;23
15;39
16;29
17;46
18;37
19;21
20;3
21 September 2017;243
3;0
6;3
7;20
8;25
9;13
10;13
11;18
12;34
13;27
14;21
15;31
16;36
17;42
18;42
19;18
20;1
22 September 2017;203
6;2
7;17
8;12
9;14
10;17
11;13
12;26
13;19
14;27
15;22
16;31
17;37
18;24
19;13
20;1
23 September 2017;57
8;4
9;4
10;7
11;15
12;10
13;13
14;13
15;13
16;2
19;0
24 September 2017;70
8;2
9;6
10;7
11;14
12;15
13;11
14;19
15;20
16;5
19;1
25 September 2017;244
7;24
8;18
9;19
10;13
11;27
12;39
13;25
14;22
15;20
16;23
17;45
18;35
19;19
20;3
26 September 2017;222
6;2
7;23
8;30
9;20
10;23
11;20
12;38
13;38
14;28
15;20
16;39
17;22
18;1
19;1
20;0
27 September 2017;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
28 September 2017;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
16;0
17;0
18;0
19;0
29 September 2017;205
8;0
10;0
11;0
12;1
13;57
14;63
15;38
16;39
17;46
18;26
19;9
20;2
30 September 2017;104
7;1
8;8
9;10
10;16
11;13
12;9
13;11
14;23
15;24
16;10
17;11
18;7
19;6
01 October 2017;144
7;1
8;17
9;12
10;11
11;8
12;17
13;21
14;17
15;20
16;26
17;22
18;21
19;17
20;1
02 October 2017;561
6;1
7;37
8;69
9;70
10;53
11;58
12;55
13;88
14;74
15;82
16;100
17;119
18;119
19;90
20;53
21;31
22;2
03 October 2017;687
6;2
7;53
8;84
9;74
10;82
11;67
12;90
13;102
14;80
15;88
16;157
17;140
18;128
19;100
20;68
21;35
22;7
04 October 2017;625
6;3
7;49
8;69
9;48
10;57
11;83
12;114
13;94
14;87
15;76
16;73
17;68
18;68
19;40
20;36
21;28
22;5
05 October 2017;692
6;8
7;51
8;66
9;52
10;49
11;74
12;100
13;111
14;96
15;84
16;47
17;172
18;179
19;121
20;72
21;35
22;1
06 October 2017;727
1;0
6;7
7;48
8;68
9;48
10;53
11;71
12;112
13;104
14;109
15;106
16;141
17;217
18;159
19;98
20;72
21;38
22;7
07 October 2017;370
7;7
8;22
9;38
10;49
11;66
12;74
13;96
14;60
15;108
16;57
17;77
18;63
19;52
20;18
08 October 2017;465
7;7
8;27
9;40
10;50
11;67
12;73
13;87
14;82
15;71
16;129
17;99
18;134
19;65
20;13
09 October 2017;897
6;21
7;96
8;127
9;81
10;58
11;81
12;115
13;129
14;94
15;109
16;160
17;164
18;199
19;162
20;108
21;52
22;12
10 October 2017;919
6;14
7;67
8;119
9;85
10;62
11;91
12;152
13;154
14;108
15;118
16;176
17;194
18;158
19;143
20;108
21;46
22;24
11 October 2017;841
6;9
7;51
8;80
9;59
10;73
11;91
12;210
13;211
14;160
15;132
16;155
17;169
18;117
19;100
20;80
21;33
22;8
12 October 2017;822
6;10
7;61
8;81
9;47
10;75
11;79
12;114
13;109
14;103
15;96
16;148
17;195
18;197
19;178
20;102
21;57
22;7
13 October 2017;716
2;0
6;2
7;69
8;83
9;64
10;52
11;77
12;147
13;133
14;88
15;78
16;116
17;173
18;136
19;110
20;82
21;39
22;18
14 October 2017;405
7;4
8;34
9;61
10;53
11;79
12;75
13;73
14;72
15;91
16;102
17;64
18;79
19;44
20;6
15 October 2017;446
7;6
8;16
9;41
10;58
11;56
12;85
13;84
14;84
15;85
16;98
17;122
18;97
19;73
20;22
16 October 2017;889
6;20
7;73
8;101
9;76
10;57
11;76
12;105
13;108
14;83
15;100
16;121
17;200
18;204
19;209
20;158
21;87
22;27
17 October 2017;846
6;23
7;79
8;120
9;77
10;57
11;69
12;130
13;126
14;82
15;87
16;133
17;191
18;197
19;151
20;118
21;60
22;22
18 October 2017;731
6;10
7;57
8;64
9;66
10;64
11;95
12;127
13;136
14;101
15;132
16;103
17;144
18;143
19;128
20;79
21;59
22;13
19 October 2017;688
6;7
7;70
8;85
9;53
10;54
11;66
12;113
13;110
14;82
15;73
16;118
17;140
18;164
19;136
20;105
21;41
22;2
20 October 2017;742
4;0
6;12
7;62
8;84
9;76
10;61
11;99
12;129
13;119
14;114
15;75
16;96
17;164
18;150
19;117
20;89
21;44
22;24
21 October 2017;365
7;12
8;26
9;47
10;51
11;57
12;73
13;60
14;60
15;80
16;65
17;81
18;82
19;45
20;28
22 October 2017;364
2;0
7;1
8;19
9;27
10;36
11;51
12;53
13;45
14;61
15;53
16;87
17;116
18;95
19;61
20;36
23 October 2017;815
6;2
7;90
8;109
9;75
10;56
11;80
12;98
13;96
14;90
15;85
16;126
17;148
18;197
19;170
20;147
21;83
22;29
23;1
24 October 2017;863
6;2
7;90
8;123
9;88
10;79
11;76
12;139
13;130
14;90
15;87
16;118
17;180
18;169
19;146
20;140
21;77
22;8
25 October 2017;815
4;0
6;3
7;57
8;73
9;55
10;74
11;105
12;177
13;198
14;126
15;141
16;128
17;151
18;135
19;110
20;72
21;64
22;19
26 October 2017;639
6;6
7;49
8;78
9;65
10;60
11;44
12;97
13;93
14;81
15;66
16;93
17;160
18;162
19;125
20;102
21;39
22;3
27 October 2017;770
6;11
7;62
8;90
9;75
10;70
11;78
12;150
13;122
14;118
15;76
16;121
17;148
18;173
19;125
20;98
21;39
22;27
28 October 2017;345
7;3
8;19
9;54
10;53
11;65
12;53
13;54
14;38
15;74
16;62
17;74
18;89
19;53
20;11
29 October 2017;386
0;2
7;1
8;23
9;36
10;49
11;43
12;54
13;46
14;56
15;52
16;82
17;109
18;103
19;66
20;28
30 October 2017;806
4;0
6;10
7;95
8;107
9;63
10;63
11;79
12;107
13;102
14;78
15;71
16;102
17;178
18;176
19;171
20;120
21;81
22;22
31 October 2017;797
6;12
7;91
8;118
9;78
10;65
11;71
12;126
13;139
14;97
15;88
16;126
17;170
18;174
19;125
20;106
21;42
22;15
01 November 2017;737
6;11
7;56
8;73
9;59
10;72
11;95
12;136
13;160
14;89
15;115
16;122
17;132
18;120
19;97
20;80
21;56
22;14
02 November 2017;731
6;1
7;70
8;82
9;50
10;68
11;65
12;111
13;107
14;76
15;73
16;115
17;161
18;181
19;147
20;109
21;43
22;7
03 November 2017;761
6;1
7;64
8;81
9;72
10;56
11;89
12;161
13;127
14;97
15;88
16;144
17;189
18;145
19;115
20;84
21;39
22;32
04 November 2017;351
7;2
8;26
9;52
10;56
11;65
12;68
13;54
14;48
15;68
16;68
17;78
18;82
19;39
20;10
05 November 2017;379
8;24
9;41
10;44
11;61
12;60
13;52
14;64
15;62
16;80
17;92
18;82
19;77
20;7
06 November 2017;781
6;3
7;69
8;87
9;69
10;57
11;77
12;111
13;94
14;64
15;80
16;109
17;163
18;169
19;168
20;154
21;84
22;23
07 November 2017;775
6;3
7;83
8;119
9;78
10;51
11;66
12;118
13;112
14;107
15;92
16;116
17;151
18;135
19;131
20;115
21;60
22;37
08 November 2017;733
6;1
7;55
8;77
9;64
10;62
11;112
12;142
13;150
14;84
15;90
16;98
17;133
18;115
19;108
20;95
21;63
22;5
09 November 2017;729
7;62
8;55
9;53
10;63
11;77
12;125
13;96
14;84
15;90
16;121
17;155
18;151
19;139
20;104
21;43
22;19
10 November 2017;718
6;1
7;58
8;80
9;74
10;58
11;93
12;157
13;107
14;88
15;78
16;103
17;156
18;138
19;105
20;97
21;43
22;27
11 November 2017;348
7;1
8;30
9;46
10;54
11;66
12;65
13;53
14;56
15;77
16;68
17;75
18;79
19;44
20;18
12 November 2017;375
7;6
8;24
9;34
10;37
11;64
12;53
13;60
14;67
15;75
16;84
17;100
18;78
19;81
20;16
13 November 2017;769
6;11
7;69
8;97
9;56
10;58
11;67
12;105
13;103
14;72
15;83
16;114
17;183
18;175
19;173
20;129
21;76
22;3
14 November 2017;783
6;1
7;74
8;95
9;60
10;63
11;61
12;124
13;113
14;98
15;114
16;146
17;162
18;172
19;126
20;122
21;48
22;21
15 November 2017;767
6;5
7;53
8;71
9;49
10;59
11;98
12;155
13;144
14;129
15;121
16;137
17;153
18;118
19;124
20;86
21;60
22;5
16 November 2017;710
6;5
7;67
8;80
9;72
10;63
11;70
12;111
13;98
14;81
15;72
16;92
17;154
18;156
19;158
20;102
21;55
22;12
17 November 2017;701
6;10
7;58
8;87
9;77
10;53
11;78
12;157
13;131
14;111
15;66
16;102
17;136
18;128
19;97
20;74
21;35
22;22
18 November 2017;306
7;9
8;13
9;32
10;44
11;57
12;54
13;58
14;47
15;62
16;57
17;63
18;83
19;53
20;7
19 November 2017;315
7;8
8;18
9;31
10;30
11;54
12;42
13;45
14;56
15;61
16;77
17;87
18;64
19;79
20;8
20 November 2017;739
6;9
7;61
8;79
9;50
10;50
11;81
12;103
13;102
14;75
15;81
16;101
17;164
18;169
19;180
20;136
21;64
22;12
21 November 2017;755
6;2
7;75
8;103
9;72
10;71
11;74
12;110
13;110
14;81
15;67
16;121
17;174
18;161
19;130
20;112
21;59
22;22
22 November 2017;776
6;11
7;43
8;59
9;62
10;61
11;90
12;156
13;173
14;121
15;125
16;108
17;127
18;131
19;121
20;98
21;63
22;8
23 November 2017;670
6;1
7;63
8;77
9;47
10;51
11;55
12;99
13;97
14;77
15;76
16;101
17;145
18;163
19;142
20;116
21;57
22;3
24 November 2017;625
6;1
7;57
8;77
9;66
10;44
11;66
12;144
13;108
14;92
15;61
16;84
17;138
18;110
19;87
20;89
21;31
22;5
25 November 2017;305
2;0
7;8
8;17
9;42
10;71
11;59
12;65
13;51
14;44
15;60
16;43
17;67
18;60
19;41
20;6
26 November 2017;328
7;8
8;13
9;29
10;41
11;50
12;61
13;32
14;58
15;59
16;76
17;87
18;75
19;58
20;2
27 November 2017;726
3;1
6;1
7;56
8;82
9;60
10;36
11;73
12;99
13;99
14;86
15;92
16;110
17;155
18;166
19;169
20;129
21;66
22;13
28 November 2017;745
6;2
7;94
8;124
9;76
10;71
11;72
12;104
13;108
14;93
15;80
16;110
17;134
18;156
19;102
20;127
21;61
22;3
29 November 2017;699
6;9
7;43
8;64
9;55
10;67
11;79
12;135
13;124
14;96
15;112
16;110
17;151
18;127
19;104
20;98
21;62
22;16
30 November 2017;625
1;0
6;12
7;66
8;95
9;60
10;53
11;70
12;96
13;106
14;87
15;66
16;90
17;118
18;113
19;116
20;89
21;40
22;1
01 December 2017;663
6;2
7;60
8;80
9;61
10;64
11;89
12;145
13;109
14;107
15;73
16;96
17;140
18;122
19;88
20;76
21;38
22;6
02 December 2017;319
7;1
8;25
9;45
10;40
11;43
12;70
13;55
14;46
15;62
16;59
17;63
18;65
19;51
20;18
03 December 2017;351
7;7
8;18
9;26
10;40
11;49
12;57
13;55
14;63
15;58
16;81
17;85
