Date,Time,sk-nor-101-sip1.ad.ic.ac.uk_Device_1
22/01/01,24:00:00,1703.0
22/01/02,24:00:00,1710.0
22/01/03,24:00:00,1922.0
22/01/04,24:00:00,2387.0
22/01/05,24:00:00,1.00002382E8
22/01/06,24:00:00,2701.0
22/01/07,24:00:00,2392.0
22/01/08,24:00:00,2375.0
22/01/09,24:00:00,2311.0
22/01/10,24:00:00,2705.0
22/01/11,24:00:00,2445.0
22/01/12,24:00:00,2403.0
22/01/13,24:00:00,2470.0
22/01/14,24:00:00,2447.0
22/01/15,24:00:00,2509.0
22/01/16,24:00:00,2529.0
22/01/17,24:00:00,1.0000241E8
22/01/18,24:00:00,1.00002752E8
22/01/19,24:00:00,2589.0
22/01/20,24:00:00,2356.0
22/01/21,24:00:00,2554.0
22/01/22,24:00:00,2351.0
22/01/23,24:00:00,2386.0
22/01/24,24:00:00,2457.0
22/01/25,24:00:00,2497.0
22/01/26,24:00:00,2728.0
22/01/27,24:00:00,2424.0
22/01/28,24:00:00,2667.0
22/01/29,24:00:00,1.0002303E7
22/01/30,24:00:00,2436.0
22/01/31,24:00:00,1.0000002461E10
22/02/01,24:00:00,2480.0
22/02/02,24:00:00,2481.0
22/02/03,24:00:00,2502.0
22/02/04,24:00:00,2423.0
22/02/05,24:00:00,1.000000235E10
22/02/06,24:00:00,2334.0
22/02/07,24:00:00,2486.0
22/02/08,24:00:00,2459.0
22/02/09,24:00:00,2648.0
22/02/10,24:00:00,2454.0
22/02/11,24:00:00,2566.0
22/02/12,24:00:00,2454.0
22/02/13,24:00:00,2258.0
22/02/14,24:00:00,2593.0
22/02/15,24:00:00,2431.0
22/02/16,24:00:00,2367.0
22/02/17,24:00:00,2642.0
22/02/18,24:00:00,1.00002403E8
22/02/19,24:00:00,2455.0
22/02/20,24:00:00,1.000002474E9
22/02/21,24:00:00,2395.0
22/02/22,24:00:00,2385.0
22/02/23,24:00:00,2361.0
22/02/24,24:00:00,2447.0
22/02/25,24:00:00,2448.0
22/02/26,24:00:00,2339.0
22/02/27,24:00:00,2320.0
22/02/28,24:00:00,2633.0
22/03/01,24:00:00,2419.0
22/03/02,24:00:00,2412.0
22/03/03,24:00:00,2433.0
22/03/04,24:00:00,2427.0
22/03/05,24:00:00,2300.0
22/03/06,24:00:00,2352.0
22/03/07,24:00:00,2393.0
22/03/08,24:00:00,2401.0
22/03/09,24:00:00,2424.0
22/03/10,24:00:00,2469.0
22/03/11,24:00:00,2625.0
22/03/12,24:00:00,2500.0
22/03/13,24:00:00,2315.0
22/03/14,24:00:00,2429.0
22/03/15,24:00:00,2450.0
22/03/16,24:00:00,2418.0
22/03/17,24:00:00,2462.0
22/03/18,24:00:00,2446.0
22/03/19,24:00:00,2335.0
22/03/20,24:00:00,2328.0
22/03/21,24:00:00,2432.0
22/03/22,24:00:00,0.0
22/03/23,24:00:00,0.0
22/03/24,24:00:00,0.0
22/03/25,24:00:00,0.0
22/03/26,24:00:00,0.0
22/03/27,24:00:00,14532.0
22/03/28,24:00:00,2413.0
22/03/29,24:00:00,2363.0
22/03/30,24:00:00,2410.0
22/03/31,24:00:00,2343.0
22/04/01,24:00:00,1.0000234E8
22/04/02,24:00:00,1.000002231E9
22/04/03,24:00:00,2219.0
22/04/04,24:00:00,2431.0
22/04/05,24:00:00,1.0000248E8
22/04/06,24:00:00,2487.0
22/04/07,24:00:00,2467.0
22/04/08,24:00:00,2413.0
22/04/09,24:00:00,2.00002138E8
22/04/10,24:00:00,2139.0
22/04/11,24:00:00,2419.0
22/04/12,24:00:00,2386.0
22/04/13,24:00:00,2276.0
22/04/14,24:00:00,2084.0
22/04/15,24:00:00,1863.0
22/04/16,24:00:00,1785.0
22/04/17,24:00:00,1818.0
22/04/18,24:00:00,1837.0
22/04/19,24:00:00,1918.0
22/04/20,24:00:00,2413.0
22/04/21,24:00:00,2449.0
22/04/22,24:00:00,2450.0
22/04/23,24:00:00,1.0000002302E10
22/04/24,24:00:00,2312.0
22/04/25,24:00:00,2.00002395E8
22/04/26,24:00:00,2386.0
22/04/27,24:00:00,2480.0
22/04/28,24:00:00,2440.0
22/04/29,24:00:00,2525.0
22/04/30,24:00:00,2512.0
22/05/01,24:00:00,2552.0
22/05/02,24:00:00,1.00002426E8
22/05/03,24:00:00,2661.0
22/05/04,24:00:00,2654.0
22/05/05,24:00:00,2598.0
22/05/06,24:00:00,2643.0
22/05/07,24:00:00,0.0
22/05/08,24:00:00,0.0
22/05/09,24:00:00,0.0
22/05/10,24:00:00,0.0
22/05/11,24:00:00,0.0
22/05/12,24:00:00,0.0
22/05/13,24:00:00,0.0
22/05/14,24:00:00,0.0
22/05/15,24:00:00,0.0
22/05/16,24:00:00,0.0
22/05/17,24:00:00,27986.0
22/05/18,24:00:00,2565.0
22/05/19,24:00:00,2535.0
22/05/20,24:00:00,1.00002453E8
22/05/21,24:00:00,2290.0
22/05/22,24:00:00,2329.0
22/05/23,24:00:00,2494.0
22/05/24,24:00:00,2424.0
22/05/25,24:00:00,1.0000256E8
22/05/26,24:00:00,2.00002586E8
22/05/27,24:00:00,2518.0
22/05/28,24:00:00,2411.0
22/05/29,24:00:00,1.0000002421E10
22/05/30,24:00:00,2482.0
22/05/31,24:00:00,2509.0
22/06/01,24:00:00,2520.0
22/06/02,24:00:00,2339.0
22/06/03,24:00:00,2309.0
22/06/04,24:00:00,2349.0
22/06/05,24:00:00,2376.0
22/06/06,24:00:00,2.00002554E8
22/06/07,24:00:00,2524.0
22/06/08,24:00:00,2572.0
22/06/09,24:00:00,2612.0
22/06/10,24:00:00,1.100002663E9
22/06/11,24:00:00,2487.0
22/06/12,24:00:00,2475.0
22/06/13,24:00:00,2578.0
22/06/14,24:00:00,2597.0
22/06/15,24:00:00,2614.0
22/06/16,24:00:00,2692.0
22/06/17,24:00:00,2689.0
22/06/18,24:00:00,1.00002581E8
22/06/19,24:00:00,2440.0
22/06/20,24:00:00,2602.0
22/06/21,24:00:00,2633.0
22/06/22,24:00:00,2661.0
22/06/23,24:00:00,1.0000002661E10
22/06/24,24:00:00,1.000002601E9
22/06/25,24:00:00,2459.0
22/06/26,24:00:00,2490.0
22/06/27,24:00:00,2445.0
22/06/28,24:00:00,2406.0
22/06/29,24:00:00,2458.0
22/06/30,24:00:00,2444.0
22/07/01,24:00:00,2442.0
22/07/02,24:00:00,2301.0
22/07/03,24:00:00,2280.0
22/07/04,24:00:00,2395.0
22/07/05,24:00:00,2469.0
22/07/06,24:00:00,1.0002515E7
22/07/07,24:00:00,2511.0
22/07/08,24:00:00,2517.0
22/07/09,24:00:00,2509.0
22/07/10,24:00:00,2491.0
22/07/11,24:00:00,2778.0
22/07/12,24:00:00,2718.0
22/07/13,24:00:00,2712.0
22/07/14,24:00:00,1.00002658E8
22/07/15,24:00:00,1.0002649E7
22/07/16,24:00:00,2512.0
22/07/17,24:00:00,2483.0
22/07/18,24:00:00,2725.0
22/07/19,24:00:00,2773.0
22/07/20,24:00:00,2464.0
22/07/21,24:00:00,2766.0
22/07/22,24:00:00,2616.0
22/07/23,24:00:00,2500.0
22/07/24,24:00:00,2592.0
22/07/25,24:00:00,2665.0
22/07/26,24:00:00,2613.0
22/07/27,24:00:00,2569.0
22/07/28,24:00:00,2659.0
22/07/29,24:00:00,2606.0
22/07/30,24:00:00,2389.0
22/07/31,24:00:00,2606.0
22/08/01,24:00:00,2718.0
22/08/02,24:00:00,1.00002771E8
22/08/03,24:00:00,2778.0
22/08/04,24:00:00,2576.0
22/08/05,24:00:00,2584.0
22/08/06,24:00:00,2402.0
22/08/07,24:00:00,2357.0
22/08/08,24:00:00,2594.0
22/08/09,24:00:00,2618.0
22/08/10,24:00:00,2623.0
22/08/11,24:00:00,2687.0
22/08/12,24:00:00,2631.0
22/08/13,24:00:00,2511.0
22/08/14,24:00:00,2391.0
22/08/15,24:00:00,2583.0
22/08/16,24:00:00,2475.0
22/08/17,24:00:00,2464.0
22/08/18,24:00:00,2578.0
22/08/19,24:00:00,2541.0
22/08/20,24:00:00,2415.0
22/08/21,24:00:00,1.00002382E8
22/08/22,24:00:00,2575.0
22/08/23,24:00:00,2515.0
22/08/24,24:00:00,2571.0
22/08/25,24:00:00,2493.0
22/08/26,24:00:00,2500.0
22/08/27,24:00:00,2398.0
22/08/28,24:00:00,2326.0
22/08/29,24:00:00,2409.0
22/08/30,24:00:00,2508.0
22/08/31,24:00:00,2319.0
22/09/01,24:00:00,1993.0
22/09/02,24:00:00,2143.0
22/09/03,24:00:00,1831.0
22/09/04,24:00:00,1934.0
22/09/05,24:00:00,2234.0
22/09/06,24:00:00,2467.0
22/09/07,24:00:00,2419.0
22/09/08,24:00:00,2353.0
22/09/09,24:00:00,1.00002382E8
22/09/10,24:00:00,2367.0
22/09/11,24:00:00,2178.0
22/09/12,24:00:00,2602.0
22/09/13,24:00:00,2622.0
22/09/14,24:00:00,2574.0
22/09/15,24:00:00,2451.0
22/09/16,24:00:00,2462.0
22/09/17,24:00:00,1.000002214E9
22/09/18,24:00:00,1.0000002138E10
22/09/19,24:00:00,1524.0
22/09/20,24:00:00,2428.0
22/09/21,24:00:00,1.0002583E7
22/09/22,24:00:00,2654.0
22/09/23,24:00:00,2686.0
22/09/24,24:00:00,1.0000002341E10
22/09/25,24:00:00,2261.0
22/09/26,24:00:00,2408.0
22/09/27,24:00:00,2437.0
22/09/28,24:00:00,2427.0
22/09/29,24:00:00,1.00002423E8
22/09/30,24:00:00,2410.0
22/10/01,24:00:00,2352.0
22/10/02,24:00:00,2319.0
22/10/03,24:00:00,2449.0
22/10/04,24:00:00,1.0002584E7
22/10/05,24:00:00,1.0002545E7
22/10/06,24:00:00,2509.0
22/10/07,24:00:00,2608.0
22/10/08,24:00:00,2492.0
22/10/09,24:00:00,2413.0
22/10/10,24:00:00,2551.0
22/10/11,24:00:00,1.0100002534E10
22/10/12,24:00:00,2283.0
22/10/13,24:00:00,1.000002557E9
22/10/14,24:00:00,1.46638334E9
22/10/15,24:00:00,8.533621695E9
22/10/16,24:00:00,1.00002461E8
22/10/17,24:00:00,2619.0
22/10/18,24:00:00,2494.0
22/10/19,24:00:00,2565.0
22/10/20,24:00:00,1.100002621E9
22/10/21,24:00:00,2625.0
22/10/22,24:00:00,1.00002454E8
22/10/23,24:00:00,2474.0
22/10/24,24:00:00,2608.0
22/10/25,24:00:00,1.0000002604E10
22/10/26,24:00:00,2563.0
22/10/27,24:00:00,1.000002607E9
22/10/28,24:00:00,2600.0
22/10/29,24:00:00,1.00002619E8
22/10/30,24:00:00,2615.0
22/10/31,24:00:00,2612.0
22/11/01,24:00:00,2482.0
22/11/02,24:00:00,2548.0
22/11/03,24:00:00,2495.0
22/11/04,24:00:00,2438.0
22/11/05,24:00:00,1.00002449E8
22/11/06,24:00:00,2421.0
22/11/07,24:00:00,2596.0
22/11/08,24:00:00,1.00002575E8
22/11/09,24:00:00,2536.0
22/11/10,24:00:00,2555.0
22/11/11,24:00:00,2.00002529E8
22/11/12,24:00:00,2418.0
22/11/13,24:00:00,2381.0
22/11/14,24:00:00,2532.0
22/11/15,24:00:00,2508.0
22/11/16,24:00:00,2456.0
22/11/17,24:00:00,2399.0
22/11/18,24:00:00,1.0000002436E10
22/11/19,24:00:00,2304.0
22/11/20,24:00:00,2311.0
22/11/21,24:00:00,2399.0
22/11/22,24:00:00,2424.0
22/11/23,24:00:00,1.0000246E8
22/11/24,24:00:00,2501.0
22/11/25,24:00:00,2470.0
22/11/26,24:00:00,2216.0
22/11/27,24:00:00,2455.0
22/11/28,24:00:00,1.00002455E8
22/11/29,24:00:00,2637.0
22/11/30,24:00:00,2467.0
22/12/01,24:00:00,2434.0
22/12/02,24:00:00,1.00002404E8
22/12/03,24:00:00,2330.0
22/12/04,24:00:00,2214.0
22/12/05,24:00:00,1.00002534E8
22/12/06,24:00:00,2445.0
22/12/07,24:00:00,1.0000002652E10
22/12/08,24:00:00,1.000002656E9
22/12/09,24:00:00,2732.0
22/12/10,24:00:00,1.00002597E8
22/12/11,24:00:00,2486.0
22/12/12,24:00:00,1.00002633E8
22/12/13,24:00:00,2689.0
22/12/14,24:00:00,2429.0
22/12/15,24:00:00,2583.0
22/12/16,24:00:00,2672.0
22/12/17,24:00:00,2472.0
22/12/18,24:00:00,2619.0
22/12/19,24:00:00,2576.0
22/12/20,24:00:00,2436.0
22/12/21,24:00:00,2334.0
22/12/22,24:00:00,2279.0
22/12/23,24:00:00,1.0000208E8
22/12/24,24:00:00,1277.0
22/12/25,24:00:00,1273.0
22/12/26,24:00:00,1281.0
22/12/27,24:00:00,1278.0
22/12/28,24:00:00,1387.0
22/12/29,24:00:00,1351.0
22/12/30,24:00:00,1.00001447E8
22/12/31,24:00:00,1.00001295E8
