Time,2018 Average Consumption,2018 Average Visitation,2022 Average Consumption,2022 Average Visitation
07:00:00,113.82,39.01,84.89,40.34
08:00:00,132.62,58.25,99.42,67.08
09:00:00,140.27,52.99,104.92,75.86
10:00:00,140.22,49.24,106.14,81.9
11:00:00,139.8,60.41,106.75,87.12
12:00:00,141.03,90.79,107.62,109.21
13:00:00,143.61,88.33,108.84,104.24
14:00:00,144.02,73.37,108.97,100.94
15:00:00,144.48,67.78,109.1,112.12
16:00:00,144.7,79.43,109.29,132.62
17:00:00,143.29,112.62,107.9,160.86
18:00:00,143.58,119.34,107.78,177.22
19:00:00,143.15,92.26,107.77,141.78
20:00:00,135.42,55.13,105.85,91.22
21:00:00,118.7,50.41,95.45,84.39
