date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
20220101,8.0,0.0,13.0,6.6,4.1,1.7,0.0,102980.0,
20220102,7.0,0.0,13.0,11.1,8.6,6.2,1.0,102160.0,
20220103,4.0,0.0,22.0,10.4,9.9,9.4,0.6,101980.0,
20220104,7.0,2.7,36.0,9.1,5.6,2.2,0.0,103400.0,
20220105,7.0,1.4,32.0,9.1,7.8,6.5,0.0,103380.0,
20220106,7.0,0.2,24.0,9.0,7.8,6.6,0.8,102290.0,
20220107,5.0,0.9,30.0,12.1,8.1,4.1,0.2,102220.0,
20220108,7.0,1.3,37.0,12.1,11.8,11.6,1.0,102070.0,
20220109,3.0,0.9,28.0,13.5,11.5,9.6,4.2,100780.0,
20220110,3.0,3.8,43.0,8.6,7.1,5.7,0.0,102100.0,
20220111,7.0,3.5,43.0,11.0,8.0,5.0,0.6,102260.0,
20220112,3.0,0.5,27.0,11.7,10.6,9.6,0.2,101810.0,
20220113,7.0,2.8,36.0,10.5,7.5,4.6,5.6,101060.0,
20220114,8.0,0.6,27.0,13.4,10.3,7.2,10.0,99610.0,
20220115,3.0,0.0,18.0,10.2,9.1,8.0,3.0,100450.0,
20220116,7.0,2.4,38.0,12.7,8.9,5.2,4.4,101520.0,
20220117,4.0,0.4,34.0,9.6,8.5,7.4,1.0,101170.0,
20220118,2.0,2.7,43.0,8.0,4.6,1.2,0.0,102620.0,
20220119,0.0,6.7,60.0,7.7,3.7,-0.3,0.2,104280.0,
20220120,3.0,6.2,66.0,8.9,4.3,-0.3,0.0,104820.0,
20220121,1.0,3.8,53.0,8.1,3.0,-2.0,0.0,104260.0,
20220122,8.0,5.6,58.0,8.1,4.3,0.6,0.2,103810.0,
20220123,8.0,0.0,17.0,8.1,7.6,7.1,0.0,103250.0,
20220124,8.0,0.0,10.0,7.1,6.5,6.0,0.0,102380.0,
20220125,8.0,0.0,12.0,7.0,6.3,5.6,0.2,101930.0,
20220126,7.0,0.0,21.0,10.6,8.1,5.7,2.4,101040.0,
20220127,7.0,0.1,36.0,9.6,8.5,7.5,9.0,100130.0,
20220128,2.0,1.1,36.0,8.2,5.4,2.6,0.0,99490.0,
20220129,4.0,4.8,69.0,9.7,6.0,2.4,0.0,100810.0,
20220130,8.0,5.8,70.0,13.1,10.0,7.0,0.2,100510.0,
20220131,7.0,0.0,23.0,12.9,10.7,8.6,1.0,100640.0,
